EVENTO;ELEMENTO UBICADO;CODIGO ELEMENTO RESPONSABLE;DESCRIPCION ELEMENTO RESPONSABLE;CODIGO AMBITO;DESCRIPCION AMBITO;CODIGO CONDICION;DESCRIPCION CONDICION;OBSERVACIONES
B1830584;;P16;POSTE DISTRIBUCION;4;Red BT AÇrea;48;INCLINADO;
B1830586;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1830587;;D02;DOMICILIO;6;Cliente AÇreo;88;SERVICIO CORTADO;
B1830588;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;3;AISLADO-A;
B1830589;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1830590;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;16;CORTADO-A;
B1830591;;C02;CABLE EMPALME;7;Cliente Subterr†neo;40;FALLADO-A;
B1830592;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;17;CORTO-CIRCUITO;
B1830593;;D02;DOMICILIO;6;Cliente AÇreo;52;INACCESIBLE;
B1830594;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;17;CORTO-CIRCUITO;
B1830595;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;66;NORMALIZACION;
B1830596;;P16;POSTE DISTRIBUCION;1;Red MT AÇrea;37;EN ATENCION;
B1830597;;U01;UNION A TABLERO;6;Cliente AÇreo;43;FUNDIDO-A;
B1830598;;M01;MEDIDOR;7;Cliente Subterr†neo;69;OTRA FALLA;
B1830600;;S03;SECTOR;5;Red BT Subterr†nea;85;REVISION;
B1830601;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;16;CORTADO-A;
B1830602;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;85;REVISION;
B1830603;;U01;UNION A TABLERO;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1830605;;P26;PROTECC EMP. 380V;6;Cliente AÇreo;64;NO RESISTE;
B1830606;;P34;PUENTE DE DISTRIBUCION;4;Red BT AÇrea;16;CORTADO-A;
B1830607;;S03;SECTOR;4;Red BT AÇrea;29;DESCONECTADO;
B1830608;;C07;CAJA EMP. MONOFASICA;8;Alumbrado P£blico;25;DESPRENDIDO;
B1830609;;R03;RECONECTADOR;1;Red MT AÇrea;44;LECTURA RECONECTADOR;
B1830610;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1830611;;U01;UNION A TABLERO;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1830612;;N01;NEUTRO;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1830613;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;17;CORTO-CIRCUITO;
B1830614;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;43;FUNDIDO-A;
B1830615;;P26;PROTECC EMP. 380V;7;Cliente Subterr†neo;40;FALLADO-A;
B1830616;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;16;CORTADO-A;
B1830617;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;26;DESTEMPLADO;
B1830618;;P26;PROTECC EMP. 380V;7;Cliente Subterr†neo;69;OTRA FALLA;
B1830619;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1830620;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;62;NO OPERATIVO;
B1830621;;T20;TRANSF. DISTRIBUCION AEREO;4;Red BT AÇrea;85;REVISION;
B1830622;;U01;UNION A TABLERO;6;Cliente AÇreo;43;FUNDIDO-A;
B1830623;;A11;ALDUTTI;1;Red MT AÇrea;69;OTRA FALLA;
B1830624;;U01;UNION A TABLERO;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1830625;;B01;BAJADA EMPALME;6;Cliente AÇreo;16;CORTADO-A;
B1830626;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;85;REVISION;
B1830627;;P29;PROTECC T/D EN BT;3;Transformador MT/BT;61;NO NORMALIZADO;
B1830628;;D02;DOMICILIO;6;Cliente AÇreo;85;REVISION;
B1830629;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1830631;;D02;DOMICILIO;6;Cliente AÇreo;88;SERVICIO CORTADO;
B1830633;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;43;FUNDIDO-A;
B1830634;;D02;DOMICILIO;6;Cliente AÇreo;88;SERVICIO CORTADO;
B1830635;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;22;DESCONECTO-AR;
B1830636;;L04;LINEA APOYADA OTRA EMPR.;9;Otra Empresa;12;CON RAMAS;
B1830637;;T04;TAPA CAJA EMP.;6;Cliente AÇreo;54;MAL ESTADO;
B1830638;;P26;PROTECC EMP. 380V;6;Cliente AÇreo;69;OTRA FALLA;
B1830639;;P26;PROTECC EMP. 380V;6;Cliente AÇreo;43;FUNDIDO-A;
B1830640;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;40;FALLADO-A;
B1830641;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;40;FALLADO-A;
B1830642;;L02;LINEA DE DISTRIBUCION;1;Red MT AÇrea;12;CON RAMAS;
B1830643;;P29;PROTECC T/D EN BT;3;Transformador MT/BT;40;FALLADO-A;
B1830644;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;43;FUNDIDO-A;
B1830645;;I01;IND. O EDIFICIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1830646;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1830647;;T10;TIRANTE;4;Red BT AÇrea;11;CHOCADO;
B1830648;;D02;DOMICILIO;6;Cliente AÇreo;85;REVISION;
B1830650;;D02;DOMICILIO;6;Cliente AÇreo;1;CERRADO;
B1830652;;D02;DOMICILIO;7;Cliente Subterr†neo;61;NO NORMALIZADO;
