EVENTO;ELEMENTO UBICADO;CODIGO ELEMENTO RESPONSABLE;DESCRIPCION ELEMENTO RESPONSABLE;CODIGO AMBITO;DESCRIPCION AMBITO;CODIGO CONDICION;DESCRIPCION CONDICION;OBSERVACIONES
B1821473;;S03;SECTOR;4;Red BT AÇrea;52;INACCESIBLE;
B1821475;;P50;PROTECC. ARRANQUE MT;1;Red MT AÇrea;29;DESCONECTADO;
B1821476;;D02;DOMICILIO;6;Cliente AÇreo;1;CERRADO;
B1821478;;L09;LUMINARIA;8;Alumbrado P£blico;54;MAL ESTADO;
B1821479;;T20;TRANSF. DISTRIBUCION AEREO;3;Transformador MT/BT;85;REVISION;
B1821480;;D02;DOMICILIO;6;Cliente AÇreo;52;INACCESIBLE;
B1821481;;S03;SECTOR;5;Red BT Subterr†nea;85;REVISION;
B1821482;;C20;CHIC. (PROT. BT. T/D  A RED);3;Transformador MT/BT;19;CONEXI‡N FUNDIDA;
B1821483;;D02;DOMICILIO;7;Cliente Subterr†neo;45;FALLA EN INSTALACION CLIENTE;
B1821484;;I01;IND. O EDIFICIO;7;Cliente Subterr†neo;45;FALLA EN INSTALACION CLIENTE;
B1821486;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1821488;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821489;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;40;FALLADO-A;
B1821490;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;29;DESCONECTADO;
B1821491;;A01;ACOMETIDA;6;Cliente AÇreo;25;DESPRENDIDO;
B1821492;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;16;CORTADO-A;
B1821493;;C30;CHICOTE CAJA EMP.;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1821494;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1821495;;P26;PROTECC EMP. 380V;6;Cliente AÇreo;54;MAL ESTADO;
B1821496;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;61;NO NORMALIZADO;
B1821497;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1821498;;A01;ACOMETIDA;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1821499;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1821500;NUMPOS: 77832;R04;REGLETA CONEX DAE;4;Red BT AÇrea;43;FUNDIDO-A;
B1821501;;D02;DOMICILIO;6;Cliente AÇreo;85;REVISION;
B1821502;;U01;UNION A TABLERO;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1821503;;S03;SECTOR;4;Red BT AÇrea;85;REVISION;
B1821504;;P26;PROTECC EMP. 380V;7;Cliente Subterr†neo;40;FALLADO-A;
B1821505;;P16;POSTE DISTRIBUCION;4;Red BT AÇrea;11;CHOCADO;
B1821506;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821507;;U01;UNION A TABLERO;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1821508;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1821509;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1821510;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821511;;M01;MEDIDOR;6;Cliente AÇreo;85;REVISION;
B1821512;;P16;POSTE DISTRIBUCION;8;Alumbrado P£blico;11;CHOCADO;
B1821513;;F01;FASE;6;Cliente AÇreo;43;FUNDIDO-A;
B1821514;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;66;NORMALIZACION;
B1821515;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821516;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821517;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1821518;;L04;LINEA APOYADA OTRA EMPR.;9;Otra Empresa;16;CORTADO-A;
B1821519;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821520;;U01;UNION A TABLERO;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821521;;U01;UNION A TABLERO;6;Cliente AÇreo;43;FUNDIDO-A;
B1821522;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;66;NORMALIZACION;
B1821523;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1821524;;P26;PROTECC EMP. 380V;6;Cliente AÇreo;40;FALLADO-A;
B1821525;NUMPOS: 93708;L07;LINEA DIST. CONC 1F;4;Red BT AÇrea;43;FUNDIDO-A;
B1821526;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;40;FALLADO-A;
B1821527;;A01;ACOMETIDA;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1821528;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;26;DESTEMPLADO;
B1821530;;C30;CHICOTE CAJA EMP.;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821531;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;40;FALLADO-A;
B1821532;;U01;UNION A TABLERO;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821533;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821534;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821535;;C30;CHICOTE CAJA EMP.;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1821536;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;43;FUNDIDO-A;
B1821537;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;17;CORTO-CIRCUITO;
B1821538;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1821539;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821540;;T01;TABLERO CLTE.;6;Cliente AÇreo;29;DESCONECTADO;
B1821541;;D02;DOMICILIO;6;Cliente AÇreo;57;VERIFICACION DE DOMICILIO;
B1821542;;C02;CABLE EMPALME;7;Cliente Subterr†neo;40;FALLADO-A;
B1821543;;U01;UNION A TABLERO;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821545;;L09;LUMINARIA;8;Alumbrado P£blico;15;CONEXI‡N SUELTA;
B1821546;;C44;CHIC (PROT. BT DAE A REGL. DAE);4;Red BT AÇrea;19;CONEXI‡N FUNDIDA;
B1821547;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;40;FALLADO-A;
B1821548;;D02;DOMICILIO;6;Cliente AÇreo;85;REVISION;
B1821550;;L02;LINEA DE DISTRIBUCION;1;Red MT AÇrea;17;CORTO-CIRCUITO;
B1821552;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1821554;NUMPOS: 97853;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1821555;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;40;FALLADO-A;
B1821557;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;69;OTRA FALLA;
B1821559;;A01;ACOMETIDA;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1821562;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1821565;;D02;DOMICILIO;6;Cliente AÇreo;85;REVISION;
B1821566;;L07;LINEA DIST. CONC 1F;4;Red BT AÇrea;19;CONEXI‡N FUNDIDA;
B1821568;;T01;TABLERO CLTE.;7;Cliente Subterr†neo;43;FUNDIDO-A;
B1821570;;A01;ACOMETIDA;6;Cliente AÇreo;26;DESTEMPLADO;
B1821571;;T06;TAPA DE CAMARILLA;5;Red BT Subterr†nea;85;REVISION;
B1821572;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;43;FUNDIDO-A;
B1821573;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821575;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;43;FUNDIDO-A;
B1821576;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;17;CORTO-CIRCUITO;
B1821577;;C26;CABLE PREENSAMBLADO ALUMINIO;4;Red BT AÇrea;81;QUEMADO;
B1821578;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821579;;C26;CABLE PREENSAMBLADO ALUMINIO;4;Red BT AÇrea;81;QUEMADO;
B1821582;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1821585;;A11;ALDUTTI;1;Red MT AÇrea;69;OTRA FALLA;
B1821615;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1821618;NUMPOS: 37856;A11;ALDUTTI;1;Red MT AÇrea;54;MAL ESTADO;
B1821624;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;40;FALLADO-A;
B1821625;;L09;LUMINARIA;8;Alumbrado P£blico;15;CONEXI‡N SUELTA;
B1821626;;U01;UNION A TABLERO;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1821630;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;40;FALLADO-A;
B1821631;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1821634;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821636;;T01;TABLERO CLTE.;6;Cliente AÇreo;66;NORMALIZACION;
B1821641;;I02;DESCONECTADOR FUSIBLE MT;1;Red MT AÇrea;69;OTRA FALLA;
B1821643;NUMPOS: 2236;D02;DOMICILIO;6;Cliente AÇreo;37;EN ATENCION;
B1821646;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;16;CORTADO-A;
B1821649;;U01;UNION A TABLERO;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1821653;;R03;RECONECTADOR;1;Red MT AÇrea;69;OTRA FALLA;
B1821655;;A01;ACOMETIDA;6;Cliente AÇreo;26;DESTEMPLADO;
B1821656;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;61;NO NORMALIZADO;
B1821661;;P22;POSTE METALICO  DE AP;8;Alumbrado P£blico;69;OTRA FALLA;
B1821662;;D02;DOMICILIO;6;Cliente AÇreo;85;REVISION;
B1821664;;D02;DOMICILIO;7;Cliente Subterr†neo;45;FALLA EN INSTALACION CLIENTE;
B1821666;;L02;LINEA DE DISTRIBUCION;1;Red MT AÇrea;16;CORTADO-A;
B1821667;;P25;PROTECC EMP. 220V;7;Cliente Subterr†neo;40;FALLADO-A;
B1821669;;L02;LINEA DE DISTRIBUCION;1;Red MT AÇrea;85;REVISION;
B1821670;;D02;DOMICILIO;6;Cliente AÇreo;85;REVISION;
B1821671;;L02;LINEA DE DISTRIBUCION;1;Red MT AÇrea;85;REVISION;
B1821672;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821673;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821675;;P10;PLACA LOZA 25 AMP.;6;Cliente AÇreo;43;FUNDIDO-A;
B1821677;;I01;IND. O EDIFICIO;6;Cliente AÇreo;57;VERIFICACION DE DOMICILIO;
B1821678;;D02;DOMICILIO;7;Cliente Subterr†neo;45;FALLA EN INSTALACION CLIENTE;
B1821679;;L06;LINEA PARTICULAR;6;Cliente AÇreo;16;CORTADO-A;
B1821684;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821686;;D02;DOMICILIO;6;Cliente AÇreo;85;REVISION;
B1821687;;P29;PROTECC T/D EN BT;3;Transformador MT/BT;61;NO NORMALIZADO;
B1821688;;S03;SECTOR;4;Red BT AÇrea;52;INACCESIBLE;
B1821689;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;40;FALLADO-A;
B1821690;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821692;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1821693;;D02;DOMICILIO;6;Cliente AÇreo;85;REVISION;
B1821695;;P04;PPF LOAD BUSTER;1;Red MT AÇrea;43;FUNDIDO-A;
B1821697;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1821698;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;16;CORTADO-A;
B1821699;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1821700;;R03;RECONECTADOR;1;Red MT AÇrea;69;OTRA FALLA;
B1821701;;U01;UNION A TABLERO;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821702;;A11;ALDUTTI;1;Red MT AÇrea;69;OTRA FALLA;
B1821705;;C30;CHICOTE CAJA EMP.;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821706;;D02;DOMICILIO;6;Cliente AÇreo;85;REVISION;
B1821707;;C26;CABLE PREENSAMBLADO ALUMINIO;8;Alumbrado P£blico;16;CORTADO-A;
B1821708;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;16;CORTADO-A;
B1821711;;D02;DOMICILIO;7;Cliente Subterr†neo;85;REVISION;
B1821713;;P30;PROTECCION DE T/P EN MT;3;Transformador MT/BT;61;NO NORMALIZADO;
B1821714;;D02;DOMICILIO;6;Cliente AÇreo;85;REVISION;
B1821715;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;43;FUNDIDO-A;
B1821716;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1821717;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;16;CORTADO-A;
B1821718;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1821719;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;40;FALLADO-A;
B1821720;;D02;DOMICILIO;6;Cliente AÇreo;1;CERRADO;
B1821721;;P34;PUENTE DE DISTRIBUCION;1;Red MT AÇrea;16;CORTADO-A;
B1821723;;B07;BASTON LOAD BUSTER;1;Red MT AÇrea;29;DESCONECTADO;
B1821724;;D02;DOMICILIO;6;Cliente AÇreo;2;NO SE UBICA;
B1821725;;D02;DOMICILIO;6;Cliente AÇreo;2;NO SE UBICA;
B1821726;;P29;PROTECC T/D EN BT;3;Transformador MT/BT;81;QUEMADO;
B1821729;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821730;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821731;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;43;FUNDIDO-A;
B1821732;;D02;DOMICILIO;6;Cliente AÇreo;1;CERRADO;
B1821734;;D02;DOMICILIO;6;Cliente AÇreo;85;REVISION;
B1821735;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1821736;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821737;NUMPOS: 60448;L02;LINEA DE DISTRIBUCION;1;Red MT AÇrea;16;CORTADO-A;
B1821743;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;16;CORTADO-A;
B1821744;;U01;UNION A TABLERO;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821746;;U01;UNION A TABLERO;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821757;;D02;DOMICILIO;6;Cliente AÇreo;85;REVISION;
B1821759;;A01;ACOMETIDA;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1821761;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1821763;;S03;SECTOR;1;Red MT AÇrea;89;SIN CORRIENTE;
B1821767;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;25;DESPRENDIDO;
B1821770;;P50;PROTECC. ARRANQUE MT;1;Red MT AÇrea;29;DESCONECTADO;
B1821774;;D02;DOMICILIO;6;Cliente AÇreo;57;VERIFICACION DE DOMICILIO;
B1821775;;P50;PROTECC. ARRANQUE MT;1;Red MT AÇrea;66;NORMALIZACION;
B1821780;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;25;DESPRENDIDO;
B1821796;;P34;PUENTE DE DISTRIBUCION;1;Red MT AÇrea;16;CORTADO-A;
B1821797;;D02;DOMICILIO;6;Cliente AÇreo;57;VERIFICACION DE DOMICILIO;
B1821800;;L02;LINEA DE DISTRIBUCION;4;Red BT AÇrea;17;CORTO-CIRCUITO;
B1821802;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821812;;S03;SECTOR;1;Red MT AÇrea;37;EN ATENCION;
B1821815;;U01;UNION A TABLERO;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1821819;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1821820;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;16;CORTADO-A;
B1821823;;C25;CUCHILLO LOAD BUSTER;1;Red MT AÇrea;69;OTRA FALLA;
B1821825;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;69;OTRA FALLA;
B1821828;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821831;;F01;FASE;5;Red BT Subterr†nea;66;NORMALIZACION;
B1821832;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1821834;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;54;MAL ESTADO;
B1821835;;T01;TABLERO CLTE.;6;Cliente AÇreo;66;NORMALIZACION;
B1821837;;M01;MEDIDOR;7;Cliente Subterr†neo;85;REVISION;
B1821845;;U01;UNION A TABLERO;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1821846;;S03;SECTOR;1;Red MT AÇrea;89;SIN CORRIENTE;
B1821847;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;40;FALLADO-A;
B1821850;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1821852;;S03;SECTOR;1;Red MT AÇrea;85;REVISION;
B1821853;;D02;DOMICILIO;6;Cliente AÇreo;85;REVISION;
B1821856;;D02;DOMICILIO;6;Cliente AÇreo;85;REVISION;
B1821860;;D02;DOMICILIO;7;Cliente Subterr†neo;85;REVISION;
B1821865;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821866;;D02;DOMICILIO;6;Cliente AÇreo;59;NO ATENDIDO;
B1821868;;U01;UNION A TABLERO;7;Cliente Subterr†neo;15;CONEXI‡N SUELTA;
B1821869;;D02;DOMICILIO;6;Cliente AÇreo;85;REVISION;
B1821870;;U01;UNION A TABLERO;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1821871;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1821874;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1821875;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;16;CORTADO-A;
B1821876;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;54;MAL ESTADO;
B1821877;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;61;NO NORMALIZADO;
B1821878;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;54;MAL ESTADO;
B1821880;;C15;CHIC (BARRA BT- PROTEC. BT);3;Transformador MT/BT;43;FUNDIDO-A;
B1821881;;S03;SECTOR;1;Red MT AÇrea;37;EN ATENCION;
B1821883;;C07;CAJA EMP. MONOFASICA;6;Cliente AÇreo;54;MAL ESTADO;
B1821885;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821888;;D02;DOMICILIO;6;Cliente AÇreo;1;CERRADO;
B1821892;;D02;DOMICILIO;6;Cliente AÇreo;85;REVISION;
B1821893;;P24;PROTECC DAE BT;3;Transformador MT/BT;40;FALLADO-A;
B1821896;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;61;NO NORMALIZADO;
B1821897;NUMPOS: 54568;P34;PUENTE DE DISTRIBUCION;1;Red MT AÇrea;16;CORTADO-A;
B1821898;;C33;CONECTOR UDI-I;8;Alumbrado P£blico;15;CONEXI‡N SUELTA;
B1821900;;L07;LINEA DIST. CONC 1F;4;Red BT AÇrea;19;CONEXI‡N FUNDIDA;
B1821901;Acometida: DR CARLOS ARANDA 6027 / CERRILLOS;D02;DOMICILIO;6;Cliente AÇreo;0;NORMAL;
B1821902;;B09;BLOCK DE PRUEBA (220V);6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1821904;;B01;BAJADA EMPALME;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1821908;;U01;UNION A TABLERO;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1821909;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821910;;L12;LIMITADOR EN EDIFICIO;7;Cliente Subterr†neo;92;SUELTO-A;
B1821911;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;85;REVISION;
B1821912;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821913;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821914;;R04;REGLETA CONEX DAE;4;Red BT AÇrea;54;MAL ESTADO;
B1821915;NUMPOS: 35675;P04;PPF LOAD BUSTER;1;Red MT AÇrea;14;CONECTO-AR;
B1821917;;D02;DOMICILIO;6;Cliente AÇreo;57;VERIFICACION DE DOMICILIO;
B1821918;;U01;UNION A TABLERO;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1821919;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1821920;;A02;ACOMETIDA CONCEN;8;Alumbrado P£blico;15;CONEXI‡N SUELTA;
B1821922;;D02;DOMICILIO;6;Cliente AÇreo;0;NORMAL;
B1821923;;P50;PROTECC. ARRANQUE MT;1;Red MT AÇrea;14;CONECTO-AR;
B1821924;;P50;PROTECC. ARRANQUE MT;1;Red MT AÇrea;14;CONECTO-AR;
B1821926;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821928;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1821929;NUMPOS: 5679;D02;DOMICILIO;6;Cliente AÇreo;1;CERRADO;
B1821930;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821933;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;3;AISLADO-A;
B1821934;;U01;UNION A TABLERO;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821935;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1821936;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821937;;D02;DOMICILIO;6;Cliente AÇreo;1;CERRADO;
B1821938;;D02;DOMICILIO;6;Cliente AÇreo;1;CERRADO;
B1821939;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1821940;;P34;PUENTE DE DISTRIBUCION;8;Alumbrado P£blico;15;CONEXI‡N SUELTA;
B1821941;;D02;DOMICILIO;6;Cliente AÇreo;0;NORMAL;
B1821942;;P25;PROTECC EMP. 220V;7;Cliente Subterr†neo;66;NORMALIZACION;
B1821943;;U01;UNION A TABLERO;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821944;;P16;POSTE DISTRIBUCION;1;Red MT AÇrea;11;CHOCADO;
B1821945;NUMPOS: 65698;P19;POSTE OTRA EMPRESA;9;Otra Empresa;11;CHOCADO;
B1821946;;P16;POSTE DISTRIBUCION;1;Red MT AÇrea;11;CHOCADO;
B1821947;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821948;;C46;CABLE BAJADA/SUBIDA;5;Red BT Subterr†nea;40;FALLADO-A;
B1821949;;R03;RECONECTADOR;1;Red MT AÇrea;44;LECTURA RECONECTADOR;
B1821957;;R03;RECONECTADOR;1;Red MT AÇrea;85;REVISION;
B1821958;;L09;LUMINARIA;8;Alumbrado P£blico;15;CONEXI‡N SUELTA;
B1821962;;R03;RECONECTADOR;1;Red MT AÇrea;5;ABIERTO;
B1821963;;U01;UNION A TABLERO;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1821964;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;40;FALLADO-A;
B1821966;;R03;RECONECTADOR;1;Red MT AÇrea;85;REVISION;
B1821969;;C01;CABLE DE DISTRIBUCION;5;Red BT Subterr†nea;40;FALLADO-A;
B1821976;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1821978;;Z01;ZONA;1;Red MT AÇrea;85;REVISION;
B1821979;;R03;RECONECTADOR;1;Red MT AÇrea;85;REVISION;
B1821980;;P25;PROTECC EMP. 220V;6;Cliente AÇreo;40;FALLADO-A;
B1821982;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1821983;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;16;CORTADO-A;
B1821984;;P16;POSTE DISTRIBUCION;4;Red BT AÇrea;85;REVISION;
B1821985;;P26;PROTECC EMP. 380V;6;Cliente AÇreo;62;NO OPERATIVO;
B1821986;;P25;PROTECC EMP. 220V;7;Cliente Subterr†neo;69;OTRA FALLA;
B1821987;;C30;CHICOTE CAJA EMP.;6;Cliente AÇreo;43;FUNDIDO-A;
B1821988;;S03;SECTOR;4;Red BT AÇrea;85;REVISION;
B1821989;;D02;DOMICILIO;6;Cliente AÇreo;69;OTRA FALLA;
B1821990;;D02;DOMICILIO;6;Cliente AÇreo;52;INACCESIBLE;
B1821991;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1821992;;D02;DOMICILIO;6;Cliente AÇreo;1;CERRADO;
B1821993;;F03;FUSIBLE;1;Red MT AÇrea;16;CORTADO-A;
B1821994;;C09;CAMARA;5;Red BT Subterr†nea;69;OTRA FALLA;
B1821995;;P26;PROTECC EMP. 380V;6;Cliente AÇreo;29;DESCONECTADO;
B1821996;;C46;CABLE BAJADA/SUBIDA;5;Red BT Subterr†nea;69;OTRA FALLA;
B1821998;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1821999;;D02;DOMICILIO;6;Cliente AÇreo;45;FALLA EN INSTALACION CLIENTE;
B1822001;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;19;CONEXI‡N FUNDIDA;
B1822002;;S03;SECTOR;5;Red BT Subterr†nea;85;REVISION;
B1822003;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;15;CONEXI‡N SUELTA;
B1822004;;A02;ACOMETIDA CONCEN;6;Cliente AÇreo;26;DESTEMPLADO;
