"BAREMO";"PRECIO";"COD ELEMENTO AVERIADO";"DESCRIPCION ELEMENTO AVERIADO";"CODIGO AMBITO";"DESCRIPCION AMBITO";"COD CONDICION";"DESCRIPCION CONDICION";"Eventos_Averiados.ESTADO";"CODIGOS";"ESTADO";"RECURSO INSUF";"CUADRILLA DESASIGNADA"
"FALSA ALARMA PROVISORIO & SERVICIO DE EMERGENCIA RED ";11102;"*";"*";"*";"*";"*";"*";"*";"*";"CERRADO";"SI";"SI"
"FALSA ALARMA PROVISORIO & SERVICIO DE EMERGENCIA RED ";11102;"*";"*";"*";"*";"*";"*";"*";"*";"PROVISORIO";"SI";"SI"
